2017-09-02 14:09:27,525 - Main.money - INFO - 2013-08-21, 1000000, 0, 1000000
2017-09-02 14:09:27,525 - Main - INFO - Backtesting on : 2013-08-21
2017-09-02 14:09:27,529 - Main.money - INFO - 2013-08-22, 1000000, 0, 1000000
2017-09-02 14:09:27,530 - Main - INFO - Backtesting on : 2013-08-22
2017-09-02 14:09:27,532 - Main.money - INFO - 2013-08-23, 1000000, 0, 1000000
2017-09-02 14:09:27,533 - Main - INFO - Backtesting on : 2013-08-23
2017-09-02 14:09:27,536 - Main.money - INFO - 2013-08-26, 1000000, 0, 1000000
2017-09-02 14:09:27,536 - Main - INFO - Backtesting on : 2013-08-26
2017-09-02 14:09:27,538 - Main.money - INFO - 2013-08-27, 1000000, 0, 1000000
2017-09-02 14:09:27,539 - Main - INFO - Backtesting on : 2013-08-27
2017-09-02 14:09:27,541 - Main.money - INFO - 2013-08-28, 1000000, 0, 1000000
2017-09-02 14:09:27,541 - Main - INFO - Backtesting on : 2013-08-28
2017-09-02 14:09:27,545 - Main.money - INFO - 2013-08-29, 1000000, 0, 1000000
2017-09-02 14:09:27,545 - Main - INFO - Backtesting on : 2013-08-29
2017-09-02 14:09:27,548 - Main.money - INFO - 2013-08-30, 1000000, 0, 1000000
2017-09-02 14:09:27,548 - Main - INFO - Backtesting on : 2013-08-30
2017-09-02 14:09:27,551 - Main.money - INFO - 2013-09-02, 1000000, 0, 1000000
2017-09-02 14:09:27,552 - Main - INFO - Backtesting on : 2013-09-02
2017-09-02 14:09:27,554 - Main.money - INFO - 2013-09-03, 1000000, 0, 1000000
2017-09-02 14:09:27,554 - Main - INFO - Backtesting on : 2013-09-03
2017-09-02 14:09:27,557 - Main.money - INFO - 2013-09-04, 1000000, 0, 1000000
2017-09-02 14:09:27,558 - Main - INFO - Backtesting on : 2013-09-04
2017-09-02 14:09:27,561 - Main.money - INFO - 2013-09-05, 1000000, 0, 1000000
2017-09-02 14:09:27,562 - Main - INFO - Backtesting on : 2013-09-05
2017-09-02 14:09:27,564 - Main.money - INFO - 2013-09-06, 1000000, 0, 1000000
2017-09-02 14:09:27,565 - Main - INFO - Backtesting on : 2013-09-06
2017-09-02 14:09:27,568 - Main.money - INFO - 2013-09-09, 1000000, 0, 1000000
2017-09-02 14:09:27,568 - Main - INFO - Backtesting on : 2013-09-09
2017-09-02 14:09:27,571 - Main.money - INFO - 2013-09-10, 1000000, 0, 1000000
2017-09-02 14:09:27,572 - Main - INFO - Backtesting on : 2013-09-10
2017-09-02 14:09:27,574 - Main.money - INFO - 2013-09-11, 1000000, 0, 1000000
